_id,district,street,building,name,seats,enterpreneur_name,enterpreneur_name_2,area,code_phone_number,phone_number_1,phone_number_2,cellphone_number_1,cellphone_number_2,hours_of_work_monday,hours_of_work_tuesday',hours_of_work_wednesday',hours_of_work_thursday,hours_of_work_friday,hours_of_work_saturday,hours_of_work_sunday
1,Франківський,Наукова,10А,"кафе-пекарня ""Хлібні історії""",10.0,ФОП Мартиненко Г.В.,NULL,30.0,NULL,NULL,NULL,0502961283,NULL,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,09:00-20:00
2,Галицький,Вірменська,31-25,Дзиґа,60.0,ТзОВ Мистьецьке обєднання Дзиґа,NULL,NULL,NULL,NULL,NULL,0503150414,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
3,Галицький,"Свободи, просп.",35,МакДональдз,NULL,"ПзІІ ""МакДональдз юкрейн ЛТД""",NULL,NULL,NULL,NULL,NULL,0503172335,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
4,Залізничний,Залізнична,56,NULL,21.0,Олексів Ольга Михайлівна,NULL,41.0,NULL,NULL,NULL,0503173366,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,вихідний,вихідний
5,Галицький,Краківська,1/3,Куфер,NULL,"ТзОВ ""Банк речей""",NULL,NULL,NULL,NULL,NULL,0503174711,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
6,Личаківський,Пекарська,24,"Кафе ""Тарта""",38.0,СПД Мойса І.С.,NULL,191.9,NULL,NULL,NULL,0503722730,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00
7,Франківський,Володимира Великого,26А,"паб ""Крафт""",10.0,ФОП Солонинка Р.А.,NULL,60.0,NULL,NULL,NULL,0504306572,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
8,Франківський,"Сахарова А.,акад.",44.0,"кав'ярня ""Пекарня, кондитерська""",45.0,"ТзОВ ""Львівська випічка""",NULL,110.0,NULL,NULL,NULL,0504307575,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,09:00-23:00,вихідний
9,Франківський,Поліщука В.,78А,"кафе ""Кафе в ""Нота бене""",50.0,"ТзОВ""Премєр логістика""",NULL,80.0,032,2349092.0,NULL,0504310467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,Личаківський,Личаківська,112,"Магазин-кавярня ""Два кроки від хати""",10.0,"ТзОВ ""Рітейл менеджмент трейд""",NULL,46.0,NULL,NULL,NULL,0504328330,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
11,Личаківський,Зелена,26,"Кафе ""Літній сад""",28.0,"ТзОВ ""Лаімпекс-Євротранс""",СПД ФО Латікайнен О.Б.,35.0,NULL,NULL,NULL,0504382313,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,вихідний,вихідний
12,Галицький,Друкарська,4,Рудий кіт,25.0,"ТзОВ ""Святко""",NULL,39.6,NULL,NULL,NULL,0505384077,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
13,Галицький,Краківська,2,Базиліко,60.0,Поп М.Ф.,NULL,246.2,NULL,NULL,NULL,0507472005,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
14,Галицький,Федорова І.,9,Хінкальня,40.0,ПП Домінікан,NULL,NULL,NULL,NULL,NULL,0507537373,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
15,Личаківський,Пекарська,5,"Східне кафе ""Бейрут Хол""",46.0,СПД ФО Яхфуфі Алі,NULL,"176,1",032,2752014.0,NULL,0632066708 ,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
