,street_name,street_number,category,name,unique_id
0,Наукова,10А,cafe,"кафе-пекарня ""Хлібні історії""",cafe 0
1,Вірменська,31,cafe,Дзиґа,cafe 1
2,пр. Свободи,35,cafe,МакДональдз,cafe 2
3,Залізнична,56,cafe,,cafe 3
4,Краківська,1,cafe,Куфер,cafe 4
5,Пекарська,24,cafe,"Кафе ""Тарта""",cafe 5
6,Володимира Великого,26А,cafe,"паб ""Крафт""",cafe 6
7,"Сахарова А.,акад.",44.0,cafe,"кав'ярня ""Пекарня, кондитерська""",cafe 7
8,Поліщука В.,78А,cafe,"кафе ""Кафе в ""Нота бене""",cafe 8
9,Личаківська,112,cafe,"Магазин-кавярня ""Два кроки від хати""",cafe 9
10,Зелена,26,cafe,"Кафе ""Літній сад""",cafe 10
11,Друкарська,4,cafe,Рудий кіт,cafe 11
12,Краківська,2,cafe,Базиліко,cafe 12
13,Федорова І.,9,cafe,Хінкальня,cafe 13
14,Пекарська,5,cafe,"Східне кафе ""Бейрут Хол""",cafe 14
15,Чайковського П.,26,cafe,"кафе ""Кулінарна студія Банзай""",cafe 15
16,Стрийська,106А,cafe,"піцерія ""Піцерія ""Леонардо""",cafe 16
17,пл. Ринок,29,cafe,Домініка,cafe 17
18,Бандери С.,28,cafe,"кафе ""Запіканки""",cafe 18
19,Стародубська,3.0,cafe,"кафе""Стожари""",cafe 19
20,Угорська,26,cafe,"ресторан ""Султан Палац""",cafe 20
21,Політехнічна,5,cafe,"кафе ""MAKERY CHIKEN""",cafe 21
22,Туган-Барановського М.,9,cafe,"ПП"" Блек Бізон""",cafe 22
23,Героїв УПА,73,cafe,"кальян бар ""The Game lounge""",cafe 23
24,Антоновича В.,9.0,cafe,"магазин-кафе кондитерська ""Кав'ярня""",cafe 24
25,Валова,25,cafe,Wine Haus,cafe 25
26,Пасічна,43,cafe,Кафе-бар „Таємниця щастя”,cafe 26
27,Братів Рогатинців,49,cafe,"кафе ""Poison Lab""",cafe 27
28,Руданського С.,1,cafe,Рафінад,cafe 28
29,"Сахарова А.,акад.",48.0,cafe,"швидке харчування ""Egg burgerset""",cafe 29
30,Володимира Великого,34.0,cafe,"кафе ""Затишок""",cafe 30
31,Наукова,2Б,cafe,"кафе ""Гопак""",cafe 31
32,пл. Ринок,29,cafe,"кафе ""Креперія""",cafe 32
33,Хмельницького Б.,140,cafe,"ресторан ""Картель""",cafe 33
34,Хмельницького Б.,225,cafe,кафе,cafe 34
35,Стрийська,76.0,cafe,"кафе ""Вакар""",cafe 35
36,Дніпровська,7,cafe,"Кафе-бар ""Козацька чайка""",cafe 36
37,Джерельна,21,cafe,"""Шаурма кебаб""",cafe 37
38,"Чупринки Т.,ген.",42.0,cafe,"кафе-бар ""Марципан""",cafe 38
39,Театральна,24,cafe,Джем,cafe 39
40,Зелена,42,cafe,"""2 cups""",cafe 40
41,Староєврейська,8,cafe,Хенліс,cafe 41
