Name;Street;Building_number;Phone_number;E-mail
Комунальна міська клінічна лікарня швидкої медичної допомоги;Миколайчука І.;9;0322527590;emergencyhospital_uoz_lviv@ukr.net
Комунальна міська дитяча клінічна лікарня;Орлика П.;4;0322931888;mdkl_uoz_lviv@ukr.net
Міський комунальний клінічний пологовий будинок № 1;Мечникова І.;8;0322759131;pb1_uoz_lviv@ukr.net
Комунальне підприємство «Львівська 1-а міська клінічна лікарня ім. Князя Лева»;Ужгородська;1;0322600913;1kmkl_uoz_lviv@ukr.net
Комунальна 3-я міська клінічна лікарня;Раппопорта С.;8;0322334061;3kmkl_uoz_lviv@ukr.net
Комунальна 4-а міська клінічна лікарня;Стецька Я.;3;0322602103;4kmkl_uoz_lviv@ukr.net
Комунальна 5-а міська клінічна лікарня;Коновальця Є.;26;0322378732;5kmkl_uoz_lviv@ukr.net
Комунальна 7-а міська  лікарня;Івасюка В. (Брюховичі);75;0322347159;7kmkl_uoz_lviv@ukr.net
Комунальна 8-а міська клінічна лікарня;Навроцького В.;23;0322706322;8kmkl_uoz_lviv@ukr.net
Десята міська лікарня;Бой-Желенського Т.;14;0322386044;10kmkl_uoz_lviv@ukr.net
Комунальна Львівська міська лікарня “Хоспіс”;Котляревського І.;53;0322373596;hospis_uoz_lviv@ukr.net
Комунальна 1-а міська поліклініка ;Руська;20;0322358720;1kmp_uoz_lviv@ukr.net
Комунальна 2-а міська поліклініка ;Симоненка В.;4;0322635185;2kmp_uoz_lviv@ukr.net
Комунальна 4-а міська поліклініка ;Червоної Калини просп.;68;0322225522;4kmp_uoz_lviv@ukr.net
Комунальна 5-а міська клінічна поліклініка ;Виговського І.;32;0322627207;5kmp_uoz_lviv@ukr.net
Комунальна 6-а міська  поліклініка;Медової Печери;1;0322514687;6kmkl_uoz_lviv@ukr.net
Комунальна 1-а стоматологічна поліклініка;Шевченка Т.;24;0322612056;1sp_uoz_lviv@ukr.net
Комунальна 3-я стоматологічна поліклініка;;;0322922330;3sp_uoz_lviv@ukr.net
Комунальна 4-а стоматологічна поліклініка;Симоненка В.; 6а ;0322636027;4sp_uoz_lviv@ukr.net
Комунальна 5-а стоматологічна поліклініка;Замарстинівська;39;0322523545;5sp_uoz_lviv2007@ukr.net
Госпрозрахункова стоматологічна поліклініка;Чорновола В. просп.;45;0322316352;hsplviv@ukr.net
Львівська міська косметологічна лікарня;Чорновола В. просп.;1;0322727539;krasota_uoz_lviv@ukr.net
