_id,Name,Holder,Street,Building_number,Hours_of_work_(Sun.),Hours_of_work_(Mon.),Hours_of_work_(Tue.),Hours_of_work_(Wed.),Hours_of_work_(Thu.),Hours_of_work_(Fri.),Hours_of_work_(Sat.),Phone_number,Web_site,E-mail
1,Національний музей у Львові ім. А. Шептицького,Національний музей у Львові імені Андрея Шептицького,Свободи просп.,20,вихідний,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,322358846,"",nml_shept@tsp.lviv.ua
2,Художньо-меморіальний музей Івана Труша,Національний музей у Львові імені Андрея Шептицького,Труша І.,28,вихідний,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,вихідний,322370463,"",trush-museum@ukr.net 
3,Художньо-меморіальний музей Олекси Новаківського,Національний музей у Львові імені Андрея Шептицького,Листопадового Чину,11,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,вихідний,вихідний,322610552,"",""
4,Художньо-меморіальний музей Олени Кульчицької,Національний музей у Львові імені Андрея Шептицького,Листопадового Чину,7,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,вихідний,вихідний,322610706,"",""
5,Художньо-меморіальний музей Леопольда Левицького,Національний музей у Львові імені Андрея Шептицького,Устияновича М.,10,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,вихідний,вихідний,322610610,"",""
6,Музей найдавніших пам'яток Львова,Львівська національна галерея мистецтв,Ужгородська,1,11:00-18:00,вихідний,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,322722886,"",""
7,Музей мистецтва давньої української книги,Львівська національна галерея мистецтв,Коперника М.,15а,11:00-18:00,вихідний,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,322722536,"",""
8,"Музей ""Русалка Дністрова""",Львівська національна галерея мистецтв,Коперника М.,40,11:00-18:00,вихідний,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,322987482,"",""
9,Меморіальний музей-майстерня Т. Бриж,Львівська національна галерея мистецтв,Мартовича Л.,5,11:00-18:00,вихідний,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,322613114,"",""
10,Літературний Львів першої половини XX ст.,Львівський історичний музей,Гвардійська,18/9,вихідний,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,322351033,"",""
11,Музей історичних коштовностей,Львівський історичний музей,Ринок пл.,2,10:00-17:30,10:00-17:30,10:00-17:30,вихідний,10:00-17:30,10:00-17:30,10:00-17:30,322720671,www.lhm.lviv.ua,""
12,Музей пошти,Львівський історичний музей,Ринок пл.,2,10:00-18:00,10:00-18:00,10:00-18:00,вихідний,10:00-18:00,10:00-18:00,10:00-18:00,322720671,"",""
13,Музей скла,Львівський історичний музей,Ринок пл.,2,10:00-17:30,10:00-17:30,10:00-17:30,вихідний,10:00-17:30,10:00-17:30,10:00-17:30,322720671,www.lhm.lviv.ua,""
14,Слідами галицьких євреїв,"",Котляревського,30,вихідний,10:00-18:00,14:00-18:00,вихідний,вихідний,10:00-12:00,вихідний,322388961,www.hesed.lviv.ua,""
15,"Аптека-музей ""Під чорним орлом""",Львівський історичний музей,Друкарська,2,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,10:00-17:00,322720041,"",""
16,Археологічний музей ЛНУ ім. І.Франка,ЛНУ ім. І. Франка,Університетська,1 ,вихідний,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,10:00-16:00,вихідний,322794548,"",""
17,Відділ давньої історії Львівського історичного музею ,Львівський історичний музей,Ринок пл.,24,10:00-17:30,10:00-17:30,10:00-17:30,вихідний,10:00-17:30,10:00-17:30,10:00-17:30,322356874,"",""
18,Відділ історії давньоукраїнських земель другої половини ХІХ ст. - першої половини ХХ ст. та історії української еміграції,Львівський історичний музей,Ринок пл.,4,10:00-17:30,10:00-17:30,10:00-17:30,вихідний,10:00-17:30,10:00-17:30,10:00-17:30,322720671,"",""
