,street_name,street_number,category,name,unique_id
0,пр. Свободи,20,museum,Національний музей у Львові ім. А. Шептицького,museum 0
1,Труша І.,28,museum,Художньо-меморіальний музей Івана Труша,museum 1
2,Листопадового Чину,11,museum,Художньо-меморіальний музей Олекси Новаківського,museum 2
3,Листопадового Чину,7,museum,Художньо-меморіальний музей Олени Кульчицької,museum 3
4,Устияновича М.,10,museum,Художньо-меморіальний музей Леопольда Левицького,museum 4
5,Ужгородська,1,museum,Музей найдавніших пам'яток Львова,museum 5
6,Коперника М.,15а,museum,Музей мистецтва давньої української книги,museum 6
7,Коперника М.,40,museum,"Музей ""Русалка Дністрова""",museum 7
8,Мартовича Л.,5,museum,Меморіальний музей-майстерня Т. Бриж,museum 8
9,Гвардійська,18,museum,Літературний Львів першої половини XX ст.,museum 9
10,пл. Ринок,2,museum,Музей історичних коштовностей,museum 10
11,пл. Ринок,2,museum,Музей пошти,museum 11
12,пл. Ринок,2,museum,Музей скла,museum 12
13,Котляревського,30,museum,Слідами галицьких євреїв,museum 13
14,Друкарська,2,museum,"Аптека-музей ""Під чорним орлом""",museum 14
15,Університетська,1 ,museum,Археологічний музей ЛНУ ім. І.Франка,museum 15
16,пл. Ринок,24,museum,Відділ давньої історії Львівського історичного музею ,museum 16
17,пл. Ринок,4,museum,Відділ історії давньоукраїнських земель другої половини ХІХ ст. - першої половини ХХ ст. та історії української еміграції,museum 17
18,Грушевського М.,4 ,museum,Геологічний музей ,museum 18
19,Франка І.,154,museum,Державний меморіальний музей Михайла Грушевського,museum 19
20,Театральна,18,museum,Державний природознавчий музей,museum 20
21,Грушевського М.,4,museum,Зоологічний музей ім. Бенедикта Дибовського,museum 21
22,Коперника М.,15,museum,Кімната-музей Тараса Шевченка,museum 22
23,Катедральна,1,museum,Каплиця Боїмів,museum 23
24,Стефаника В.,3,museum,Львівська галерея мистецтв,museum 24
25,Франка І.,150,museum,Львівський літературно-меморіальний музей ім. І.Франка,museum 25
26,Ставропігійська,1,museum,Львівський музей історії релігії,museum 26
27,Князя Романа,38,museum,Львівський народний музей метрології,museum 27
28,Грушевського М.,4,museum,Мінералогічний музей ЛНУ ім.І.Франка ім. Є. К. Лазаренка,museum 28
29,Людкевича С.,7,museum,Меморіальний музей Станіслава Людкевича,museum 29
30,пл. Митна,2,museum,"Музей ""Творчість Іоана Георга Пінзеля""",museum 30
31,пл. Підвальна,5,museum,Музей-арсенал,museum 31
32,Пекарська,50,museum,Музей історії Академії ветеринарної медицини ім. С.Гжицького,museum 32
33,Кармелюка У.,3,museum,Музей історії галицької медицини ім. М.Панчишина,museum 33
34,Федьковича Ю.,54,museum,Музей історії львівської залізниці,museum 34
35,Винниченка В.,24,museum,Музей археології при Інституті українознавства ім. І.Крипякевича НАН України,museum 35
36,пр. Чорновола В.,2а,museum,Музей вишиваних ікон та образів о-д Дмитра Блажейовського,museum 36
37,Білогорща,76а,museum,Музей генерал-хорунжого УПА Романа Шухевича,museum 37
38,пр. Свободи,15,museum,Музей етнографії та художнього промислу,museum 38
39,Університетська,1,museum,Музей ЛНУ ім. І.Франка,museum 39
40,пл. Ринок,10,museum,Музей меблів та порцеляни,museum 40
41,Чернеча гора,1,museum,Музей народної архітектури та побуту,museum 41
42,Клепарівська,18,museum,Музей пивоваріння,museum 42
44,Крушельницької С.,23,museum,Музично-меморіальний музей Соломії Крушельницької,museum 44
45,Пасічна,89,museum,Народний музей хліба Покрови Пресвятої Богородиці,museum 45
46,Коперника М.,15,museum,Палац Потоцьких,museum 46
47,Грушевського М.,4,museum,Палеонтологічний музей,museum 47
48,Бандери С.,1 ,museum,"Національний музей-меморіал пам'яті жертв окупаційних режимів ""Тюрма на Лонцького""",museum 48
49,пр. Свободи,6,museum,Сало - Львівський музей актуального мистецтва,museum 49
50,Лисенка М.,23а,museum,Музей національно-визвольної боротьби,museum 50
51,Мендєлєєва Д.,14,museum,Квартира-музей Фаїни Петрякової,museum 51
52,пл. Соборна,1,museum,"Інтерактивний музей ""Таємна аптека""",museum 52
