Індекс;Назва вулиці;Номер будинку
79071;10й Скнилівський пров.;3
79071;10й Скнилівський пров.;5
79071;10й Скнилівський пров.;7
79068;1й Заозерний пров.;1
79068;1й Заозерний пров.;2
79068;1й Заозерний пров.;3
79068;1й Заозерний пров.;4
79068;1й Заозерний пров.;5
79068;1й Заозерний пров.;6
79068;1й Заозерний пров.;7
79068;1й Заозерний пров.;8
79068;1й Заозерний пров.;9
79068;1й Заозерний пров.;10
79071;1й Скнилівський пров.;7
79071;1й Скнилівський пров.;9
79071;1й Скнилівський пров.;10
79071;1й Скнилівський пров.;10а
79071;1й Скнилівський пров.;11
79071;1й Скнилівський пров.;12
79071;1й Скнилівський пров.;13
79071;1й Скнилівський пров.;14
79071;1й Скнилівський пров.;15
79071;1й Скнилівський пров.;17
79071;1й Скнилівський пров.;17а
79071;1й Скнилівський пров.;16
79071;1й Скнилівський пров.;19
79071;1й Скнилівський пров.;18
79071;1й Скнилівський пров.;21
79071;1й Скнилівський пров.;23
79071;1й Скнилівський пров.;25
79068;1й Топольний пров.;1
79068;1й Топольний пров.;2
79068;1й Топольний пров.;3
79068;1й Топольний пров.;4
79068;1й Топольний пров.;5
79068;1й Топольний пров.;6
79068;1й Топольний пров.;7
79068;1й Топольний пров.;8
79068;1й Топольний пров.;9
79068;1й Топольний пров.;10
79068;2й Заозерний пров.;1
79068;2й Заозерний пров.;2
79068;2й Заозерний пров.;3
79068;2й Заозерний пров.;4
79068;2й Заозерний пров.;5
79068;2й Заозерний пров.;6
79068;2й Заозерний пров.;7
79068;2й Заозерний пров.;8
79068;2й Заозерний пров.;9
79071;2й Скнилівський пров.;10
79071;2й Скнилівський пров.;12
79071;2й Скнилівський пров.;14
79071;2й Скнилівський пров.;16
79071;2й Скнилівський пров.;18
79071;2й Скнилівський пров.;18a
79068;2й Топольний пров.;1
79068;2й Топольний пров.;2
79068;2й Топольний пров.;3
79068;2й Топольний пров.;4
79068;2й Топольний пров.;5
79068;2й Топольний пров.;6
79068;2й Топольний пров.;7
79068;2й Топольний пров.;8
79068;2й Топольний пров.;9
79068;2й Топольний пров.;10
79068;2й Топольний пров.;11
79068;3й Заозерний пров.;1
79068;3й Заозерний пров.;2
79068;3й Заозерний пров.;3
79068;3й Заозерний пров.;4
79068;3й Заозерний пров.;5
79068;3й Заозерний пров.;6
79068;3й Заозерний пров.;7
79068;3й Заозерний пров.;8
79071;3й Скнилівський пров.;7
79071;3й Скнилівський пров.;9
79071;3й Скнилівський пров.;10
79071;3й Скнилівський пров.;11
79071;3й Скнилівський пров.;12
79071;3й Скнилівський пров.;13
79071;3й Скнилівський пров.;14
79071;3й Скнилівський пров.;15
79071;3й Скнилівський пров.;15а
79071;3й Скнилівський пров.;16
79071;3й Скнилівський пров.;17
79071;3й Скнилівський пров.;17а
79071;3й Скнилівський пров.;20
79068;3й Топольний пров.;1
79068;3й Топольний пров.;2
79068;3й Топольний пров.;3
79068;3й Топольний пров.;4
79068;3й Топольний пров.;5
79068;3й Топольний пров.;6
79068;3й Топольний пров.;7
79068;3й Топольний пров.;8
79068;3й Топольний пров.;9
79068;4й Заозерний пров.;1
79068;4й Заозерний пров.;2
79068;4й Заозерний пров.;3
79068;4й Заозерний пров.;4
79068;4й Заозерний пров.;5
79068;4й Заозерний пров.;6
79068;4й Заозерний пров.;7
79068;4й Заозерний пров.;8
79068;4й Заозерний пров.;9
79071;4й Скнилівський пров.;23
79071;4й Скнилівський пров.;22
79071;4й Скнилівський пров.;21
79071;4й Скнилівський пров.;20
79071;4й Скнилівський пров.;19
79071;4й Скнилівський пров.;17
79071;4й Скнилівський пров.;18
79071;4й Скнилівський пров.;16
79071;4й Скнилівський пров.;14
79071;4й Скнилівський пров.;12
79071;4й Скнилівський пров.;9
79071;4й Скнилівський пров.;10
79071;4й Скнилівський пров.;7
79068;4й Топольний пров.;1
79068;4й Топольний пров.;2
79068;4й Топольний пров.;3
79068;4й Топольний пров.;4
79068;4й Топольний пров.;5
79068;4й Топольний пров.;6
79068;4й Топольний пров.;7
79068;4й Топольний пров.;8
79068;4й Топольний пров.;9
79068;5й Заозерний пров.;1
79068;5й Заозерний пров.;2
79068;5й Заозерний пров.;3
79068;5й Заозерний пров.;4
79068;5й Заозерний пров.;5
79068;5й Заозерний пров.;6
79068;5й Заозерний пров.;7
79068;5й Заозерний пров.;8
79068;5й Заозерний пров.;9
79071;5й Скнилівський пров.;5
79071;5й Скнилівський пров.;7
79071;5й Скнилівський пров.;9
79071;5й Скнилівський пров.; 9а
79071;5й Скнилівський пров.;11
79071;5й Скнилівський пров.;13
79071;5й Скнилівський пров.;15
79071;5й Скнилівський пров.;17
79071;5й Скнилівський пров.; 17а
79071;5й Скнилівський пров.;19
79071;5й Скнилівський пров.;21
79071;5й Скнилівський пров.;22
79068;5й Топольний пров.;1
79068;5й Топольний пров.;2
79068;5й Топольний пров.;3
79068;5й Топольний пров.;4
79068;5й Топольний пров.;5
79068;5й Топольний пров.;6
79068;5й Топольний пров.;7
79068;5й Топольний пров.;8
79068;5й Топольний пров.;9
79068;6й Заозерний пров.;1
79068;6й Заозерний пров.;2
79068;6й Заозерний пров.;3
79068;6й Заозерний пров.;4
79068;6й Заозерний пров.;5
79068;6й Заозерний пров.;6
79068;6й Заозерний пров.;7
79068;6й Заозерний пров.;8
79068;6й Заозерний пров.;9
79071;6й Скнилівський пров.;7
79071;6й Скнилівський пров.;8
79071;6й Скнилівський пров.;9
79071;6й Скнилівський пров.;10
79071;6й Скнилівський пров.;11
79071;6й Скнилівський пров.;12
79071;6й Скнилівський пров.;13
79071;6й Скнилівський пров.;15
79071;6й Скнилівський пров.; 15а
79068;6й Топольний пров.;1
79068;6й Топольний пров.;2
79068;6й Топольний пров.;3
79068;6й Топольний пров.;4
79068;6й Топольний пров.;5
79068;6й Топольний пров.;6
79068;6й Топольний пров.;7
79071;7й Скнилівський пров.;7
79071;7й Скнилівський пров.; 7а
79071;7й Скнилівський пров.;9
79071;7й Скнилівський пров.;11
79071;7й Скнилівський пров.; 11а
79071;7й Скнилівський пров.;13
79071;7й Скнилівський пров.; 13а
79071;7й Скнилівський пров.;15
79071;7й Скнилівський пров.;18
79071;7й Скнилівський пров.; 18а
79071;7й Скнилівський пров.;20
79071;8й Скнилівський пров.;6
79071;8й Скнилівський пров.;8
79071;8й Скнилівський пров.; 8а
79071;8й Скнилівський пров.;19
79071;8й Скнилівський пров.; 19а
79071;9й Скнилівський пров.;3
79071;9й Скнилівський пров.;5
79071;9й Скнилівський пров.;7
79071;9й Скнилівський пров.;6
79071;9й Скнилівський пров.;4
79066;А.Давидовича вул.;1
79066;А.Давидовича вул.;3
79066;А.Давидовича вул.;7
79066;А.Давидовича вул.;9
79066;А.Давидовича вул.;2
79066;А.Давидовича вул.;6
79066;А.Давидовича вул.;8
79037;Абхазька вул.;1
79037;Абхазька вул.;2
