subject_of_management;name;registration_code;city;city_district;adress_street;adress_building;code_phone_number;phone_number_1;phone_number_2;phone_number_3;email_1;email_2;web
Відділ освіти Галицького та Франківського районів;Львівська спеціалізована школа І ступеня №4 з поглибленим вивченням англійської мови;34711730;Львів;Галицький;Дзиндри Є.;7;032;2763208;NA;NA;school_4l@ukr.net;NA;www.school4.lviv.sch.in.ua
Відділ освіти Галицького та Франківського районів;Львівська державна комунальна середня загальноосвітня школа №3;20834173;Львів;Галицький;Бандери С.;11;032;2373046;2379492;NA;shkola3g@ukr.net;NA;www.sch3lv.ml
Відділ освіти Галицького та Франківського районів;Львівська академічна гімназія при НУ «Львівська політехніка»;34711678;Львів;Галицький;Бандери С.;14;032;2614860;NA;NA;gimnazija_lag1@ukr.net;NA;www.lag1.lviv.ua/
Відділ освіти Галицького та Франківського районів;Середня загальноосвітня школа №9;22336887;Львів;Галицький;Коперника М.;40;032;2613263;NA;NA;shkola9-lv@ukr.net;NA;www.shkola9-lv.at.ua
Відділ освіти Галицького та Франківського районів;Середня загальноосвітня школа №10 імені Святої Марії Магдалени;20834196;Львів;Галицький;Чупринки Т., ген.;1;032;2389493;NA;NA;szkola10.lviv@gmail.com;NA;szkola10-lviv.ucoz.com
Відділ освіти Галицького та Франківського районів;Середня загальноосвітня школа імені Героя Небесної сотні Юрія Вербицького №27;22336019;Львів;Галицький;Свєнціцького І.;15;032;2761852;NA;NA;school-27-lviv@ukr.net;NA;www.27schoollviv.at.ua
Відділ освіти Галицького та Франківського районів;Спеціалізована середня загальноосвітня школа №28 з поглибленим вивченням німецької мови;23266976;Львів;Галицький;Тютюнників;2;032;2761152;NA;NA;lviv_school28@ukr.net;NA;www.school28.edukit.lviv.ua
Відділ освіти Галицького та Франківського районів;Середня загальноосвітня школа №34 імені Маркіяна Шашкевича м. Львова;22350261;Львів;Галицький;Замкнена;8;032;2615979;NA;NA;school34.lviv.ua;NA;NA
Відділ освіти Галицького та Франківського районів;Львівська середня загальноосвітня школа східних мов та східних бойових мистецтв «Будокан» з поглибленим вивченням іноземних мов;22336025;Львів;Галицький;Шухевича В.;2;032;2354713;NA;NA;Budokanlviv@ukr.net;NA;www.budokan.lviv.ua
Відділ освіти Галицького та Франківського районів;Спеціалізована середня загальноосвітня школа №52 імені М. Лобачевського з поглибленим вивченням математичних наук;22350396;Львів;Галицький;Гоголя М.;17;032;2555200;NA;NA;52school@ukr.net;NA;www.school52.lviv.sch.in.ua
Відділ освіти Галицького та Франківського районів;Середня загальноосвітня школа №62;22336611;Львів;Галицький;Свободи, просп.;16;032;2358987;NA;NA;scool62@ukr.net;NA;www.scool62lv.ucoz.ua
Відділ освіти Галицького та Франківського районів;Середня загальноосвітня школа №87 м. Львова;23888672;Львів;Галицький;Замарстинівська;11;032;2358535;NA;NA;school87@ukr.net;NA;NA
Відділ освіти Галицького та Франківського районів;Навчально-виховний комплекс «Школа-гімназія “Галицька”»;23888525;Львів;Галицький;Замкова;4;032;2603075;NA;NA;nvk_halycka@ukr.net;NA;www.nvk-halytska.lviv.sch.in.ua
Відділ освіти Галицького та Франківського районів;Львівська лінгвістична гімназія;34711678;Львів;Галицький;Кирила і Мефодія;17А;032;2600416;NA;NA;lingua_gymn@ukr.net;NA;www.llg.lviv.ua
Відділ освіти Шевченківського та Залізничного районів;Спеціалізована середня загальноосвітня школа №15 з поглибленим вивченням англійської та французької мов;22350226;Львів;Залізничний;Патона Є.;7;032;2622125;2922679;NA;step15@ukr.net;NA;http://lvivschool15.ucoz.ua/
