Name;address;Email;Phone_number;
Львівський національний університет імені Івана Франка;вул. Університетська 1, м. Львів, 79000;press.lnu@gmail.com;(032) 239-43-25;
Національний університет “Львівська політехніка”;вул. С.Бандери, 12, м. Львів 79013;rector@lp.edu.ua;(032) 272-47-33;
Академія сухопутних військ ім. Гетьмана Петра Сагайдачного;вул. Гвардійська, 32, м. Львів, 79012;mail@asv.gov.ua ;(032) 238-65-34;
Національний лісотехнічний університет України;вул. Чупринки, 105, м. Львів, 79057;nltu_pk@ukr.net;(032) 237-88-19;
Львівський національний медичний університет ім. Данила Галицького;вул. Пекарська, 69, м. Львів, 79010;zimenkovsky@meduniv.lviv.ua;(032) 260-30-66;
Львівський національний аграрний університет;вул. В. Великого, 1, Жовківський район, м. Дубляни, 80381;lnau@mail.lviv.ua;(032) 224-23-35;
Львівський національний університет ветеринарної медицини та біотехнологій ім. С.Гжицького;вул. Пекарська, 50, м. Львів, 79010;admin@vetuniver.lviv.ua;(032) 298-68-89;
Львівська національна академія мистецтв;вул. Кубійовича, 38, м. Львів, 79011;office@lnam.edu.ua;(032) 276-14-82;
Українська академія друкарства;вул. Підвальна, 17, м. Львів, 79008;durnyak@uad.lviv.ua;(032) 242-23-40;
Львівська національна музична академія ім. Миколи Лисенка;вул. Нижанківського, 5, м. Львів, 79005;;(032) 235-82-68;
Львівський інститут банківської справи Національного банку України;пр. Шевченка, 9, м. Львів, 79005;;(032) 297-72-01;
Львівський інститут економіки і туризму;вул. Менцинського, 8, м. Львів, 79007;lebk@org.lviv.net;(032) 272-68-80;
Львівський державний університет безпеки життєдіяльності;вул. Клепарівська, 35, м. Львів, 79000;;(032) 233-32-47;
Львівський регіональний інститут державного управління Національної академії державного управління при Президентові України;смт. Брюховичі, вул. Сухомлинського, 16, м. Львів, 79491;director@academy.lviv.ua;(032) 234-65-68;
Львівський державний університет фізичної культури;вул. Костюшка, 11, м. Львів, 79000;info@ldufk.edu.ua;(032) 272-70-42;
Львівський державний університет внутрішніх справ;вул. Городоцька, 26, м. Львів, 79007;;(032) 233-11-19;
Український католицький університет;вул. Свєнціцького, 17, м. Львів, 79011;info@ucu.edu.ua;(032) 240-99-40;
ТзОВ “Львівський університет бізнесу та права»;вул. Кульпарківська, 99, м. Львів, 79021;business_law@ukr.net;(032) 292-78-50;
ЗАТ “Львівський інститут менеджменту”;вул. Ліська, 16, м. Львів, 79015;limlviv@gmail.com;(032) 241-91-50;
Львівська комерційна академія;вул. Туган-Барановського, 10, м. Львів, 79005;;(032) 275-65-50;
Львівський інститут Міжрегіональної академії управління персоналом;вул. Гетьмана Мазепи, 29, м. Львів, 79058;;(032) 294-00-81;
Львівська філія Дніпропетровського університету залізничного транспорту;вул.. І.Блажкевич, 12а, м. Львів, 79052;lfdiit@ukr.net;(032) 267-04-86;
Львівська філія ПВНЗ «Європейський університет»;вул. Кушевича, 5, м.Львів, 79019;postmaster@lviv.e-u.in.ua;(032) 297-50-72 ;
